1;Minho
2;Algarve
3;Alto Alentejo
4;Estremadura
5;Trás - os - Montes e Alto Douro
6;Douro Litoral
7;Beira Litoral
8;Beira Alta
9;Beira Baixa
10;Ribatejo
11;Baixo Alentejo
